"Item_Identifier,Outlet_Identifier,Item_Outlet_Sales",Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
"FDJ20,OUT017,",FDJ20,OUT017,2117.554706666667
"FDV44,OUT027,",FDV44,OUT027,4832.997813333333
"FDG02,OUT049,",FDG02,OUT049,2049.5987200000004
"FDA09,OUT013,",FDA09,OUT013,3000.36112
"FDT04,OUT013,",FDT04,OUT013,1193.5574666666664
"FDL58,OUT019,",FDL58,OUT019,388.7384266666667
"FDE52,OUT045,",FDE52,OUT045,1375.1433200000001
"FDW12,OUT035,",FDW12,OUT035,2198.4716
"FDL51,OUT017,",FDL51,OUT017,3246.263253333333
"NCY42,OUT027,",NCY42,OUT027,3200.6781466666666
"FDR07,OUT017,",FDR07,OUT017,1496.0082133333335
"FDN40,OUT045,",FDN40,OUT045,1971.56696
"FDB35,OUT027,",FDB35,OUT027,2579.7974533333336
"FDA22,OUT017,",FDA22,OUT017,2617.65928
"NCL06,OUT046,",NCL06,OUT046,2977.05812
"FDI35,OUT013,",FDI35,OUT013,3180.79292
"NCW42,OUT045,",NCW42,OUT045,2975.282653333333
"NCX06,OUT049,",NCX06,OUT049,3242.4460000000004
"FDC37,OUT027,",FDC37,OUT027,2641.7168533333333
"FDZ14,OUT018,",FDZ14,OUT018,1896.0208533333337
"DRG49,OUT049,",DRG49,OUT049,3034.006213333333
"NCG06,OUT045,",NCG06,OUT045,3200.855693333333
"DRC36,OUT045,",DRC36,OUT045,1907.9164799999999
"FDV21,OUT019,",FDV21,OUT019,407.2476666666667
"FDB53,OUT046,",FDB53,OUT046,2348.8536266666665
"DRP47,OUT019,",DRP47,OUT019,612.80232
"FDA14,OUT013,",FDA14,OUT013,2121.77144
"DRC24,OUT035,",DRC24,OUT035,2352.1382399999998
"FDW21,OUT018,",FDW21,OUT018,1643.1500133333334
"NCH29,OUT046,",NCH29,OUT046,1995.8464666666666
"FDU58,OUT013,",FDU58,OUT013,2702.659746666666
"FDY27,OUT017,",FDY27,OUT017,2717.9287600000002
"FDV56,OUT035,",FDV56,OUT035,1656.1553066666668
"FDT59,OUT046,",FDT59,OUT046,3773.177373333333
"FDB23,OUT046,",FDB23,OUT046,3049.5859333333333
"FDR49,OUT045,",FDR49,OUT045,1132.1707066666668
"FDB03,OUT010,",FDB03,OUT010,405.11710666666664
"FDN39,OUT045,",FDN39,OUT045,2337.8901200000005
"FDX02,OUT027,",FDX02,OUT027,4519.18408
"FDQ16,OUT027,",FDQ16,OUT027,2384.407346666667
"FDU35,OUT018,",FDU35,OUT018,2185.4663066666667
"NCT29,OUT013,",NCT29,OUT013,1596.7659466666664
"FDZ27,OUT046,",FDZ27,OUT046,1556.3740800000003
"FDN57,OUT017,",FDN57,OUT017,2306.19804
"FDA03,OUT018,",FDA03,OUT018,1721.62564
"FDZ36,OUT045,",FDZ36,OUT045,3171.649266666667
"NCU05,OUT013,",NCU05,OUT013,1495.78628
"FDT39,OUT018,",FDT39,OUT018,2247.075
"FDK60,OUT017,",FDK60,OUT017,1465.15948
"FDZ25,OUT017,",FDZ25,OUT017,2565.9932
"FDG12,OUT046,",FDG12,OUT046,1868.5898933333335
"DRB01,OUT019,",DRB01,OUT019,485.3682
"NCC43,OUT027,",NCC43,OUT027,5922.868026666667
"FDX13,OUT019,",FDX13,OUT019,454.4306933333333
"FDM22,OUT049,",FDM22,OUT049,1382.2451866666668
"FDJ03,OUT027,",FDJ03,OUT027,2811.362693333333
"FDU14,OUT018,",FDU14,OUT018,2598.5730133333336
"FDB33,OUT010,",FDB33,OUT010,345.9940666666667
"FDP27,OUT046,",FDP27,OUT046,2331.6316
"FDO38,OUT010,",FDO38,OUT010,237.95692000000003
"FDE28,OUT027,",FDE28,OUT027,4300.4909733333325
"FDO27,OUT035,",FDO27,OUT035,2949.1389066666675
"DRL23,OUT027,",DRL23,OUT027,3383.1961200000005
"FDS28,OUT046,",FDS28,OUT046,1587.2228133333335
"FDX24,OUT013,",FDX24,OUT013,1628.5468
"FDZ02,OUT035,",FDZ02,OUT035,2640.607186666667
"FDL46,OUT045,",FDL46,OUT045,1969.2144666666666
"FDS60,OUT027,",FDS60,OUT027,3629.897213333333
"NCO06,OUT017,",NCO06,OUT017,959.1958666666666
"FDO16,OUT035,",FDO16,OUT035,1683.9413600000005
"FDC60,OUT049,",FDC60,OUT049,2029.4027866666668
"FDA48,OUT018,",FDA48,OUT018,2008.4078933333335
"FDZ36,OUT027,",FDZ36,OUT027,4329.031599999999
"FDK27,OUT045,",FDK27,OUT045,1758.7328933333333
"FDW23,OUT018,",FDW23,OUT018,1503.8202666666668
"FDM14,OUT018,",FDM14,OUT018,1611.9018
"FDM14,OUT013,",FDM14,OUT013,1899.66056
"FDW60,OUT018,",FDW60,OUT018,1759.2211466666665
"FDE21,OUT013,",FDE21,OUT013,1951.8592800000004
"NCM42,OUT035,",NCM42,OUT035,2118.8419200000003
"FDY59,OUT010,",FDY59,OUT010,237.29111999999998
"DRI49,OUT049,",DRI49,OUT049,1545.18864
"FDT28,OUT019,",FDT28,OUT019,367.16650666666663
"FDQ22,OUT018,",FDQ22,OUT018,1973.6531333333332
"FDR60,OUT049,",FDR60,OUT049,1442.0340266666667
"FDC50,OUT019,",FDC50,OUT019,441.46978666666666
"FDV24,OUT013,",FDV24,OUT013,1783.5450399999997
"DRF48,OUT010,",DRF48,OUT010,343.06454666666673
"FDQ47,OUT046,",FDQ47,OUT046,1835.2555066666666
"DRN36,OUT049,",DRN36,OUT049,1139.71644
"NCY06,OUT035,",NCY06,OUT035,3034.8495600000006
"FDE52,OUT035,",FDE52,OUT035,2640.6071866666666
"NCB54,OUT045,",NCB54,OUT045,2034.3740933333333
"NCF31,OUT035,",NCF31,OUT035,2987.932853333333
"FDJ08,OUT027,",FDJ08,OUT027,4927.363866666666
"NCC07,OUT017,",NCC07,OUT017,1986.7915866666667
"NCD19,OUT027,",NCD19,OUT027,1635.9593733333334
"FDL46,OUT049,",FDL46,OUT049,2415.7443333333335
"FDM20,OUT045,",FDM20,OUT045,2876.877413333333
"NCI06,OUT010,",NCI06,OUT010,410.7542133333333
"DRM11,OUT035,",DRM11,OUT035,2593.335386666667
"NCH07,OUT018,",NCH07,OUT018,1862.1982133333333
"FDS23,OUT013,",FDS23,OUT013,1931.3082533333331
"FDO49,OUT018,",FDO49,OUT018,1418.4647066666666
"FDS35,OUT049,",FDS35,OUT049,1594.9017066666665
"DRK39,OUT045,",DRK39,OUT045,1449.57976
"DRI39,OUT049,",DRI39,OUT049,1475.4128000000003
"FDV04,OUT017,",FDV04,OUT017,2050.752773333333
"NCN14,OUT035,",NCN14,OUT035,2705.367333333333
"FDH08,OUT013,",FDH08,OUT013,3393.493826666667
"FDS20,OUT046,",FDS20,OUT046,3036.4474800000003
"FDV40,OUT049,",FDV40,OUT049,1629.47892
"FDZ48,OUT010,",FDZ48,OUT010,208.4397866666667
"FDS24,OUT027,",FDS24,OUT027,3174.8007199999997
"FDK44,OUT049,",FDK44,OUT049,3066.4528666666665
"FDS48,OUT045,",FDS48,OUT045,1966.5956533333333
"FDK26,OUT010,",FDK26,OUT010,289.1347466666667
"FDD23,OUT045,",FDD23,OUT045,2567.7686666666664
"NCH54,OUT017,",NCH54,OUT017,2291.0178
"NCP14,OUT010,",NCP14,OUT010,267.0745733333333
"FDM60,OUT010,",FDM60,OUT010,239.64361333333332
"FDV24,OUT017,",FDV24,OUT017,2279.29972
"FDH08,OUT018,",FDH08,OUT018,2431.5903733333334
"FDS12,OUT027,",FDS12,OUT027,3081.0116933333334
"FDR39,OUT027,",FDR39,OUT027,4309.767786666667
"FDP12,OUT027,",FDP12,OUT027,3013.055706666667
"DRF60,OUT027,",DRF60,OUT027,3876.4651466666664
"FDC09,OUT035,",FDC09,OUT035,1536.0005999999998
"FDF50,OUT018,",FDF50,OUT018,2444.8619866666663
"FDG28,OUT035,",FDG28,OUT035,3602.4662533333335
"NCE19,OUT017,",NCE19,OUT017,1112.6405733333334
"NCM53,OUT010,",NCM53,OUT010,413.68373333333335
"NCN18,OUT049,",NCN18,OUT049,1950.7496133333332
"FDF32,OUT035,",FDF32,OUT035,3148.124333333333
"FDF11,OUT013,",FDF11,OUT013,3356.0314799999996
"DRI59,OUT049,",DRI59,OUT049,2703.6806400000005
"NCG54,OUT035,",NCG54,OUT035,3379.378866666667
"FDM44,OUT046,",FDM44,OUT046,2047.5125466666664
"FDT57,OUT018,",FDT57,OUT018,2378.015666666666
"FDV24,OUT046,",FDV24,OUT046,2121.0612533333333
"FDI50,OUT019,",FDI50,OUT019,441.29223999999994
"FDS09,OUT035,",FDS09,OUT035,1634.5833866666667
"NCC31,OUT027,",NCC31,OUT027,3587.3747866666668
"FDQ07,OUT019,",FDQ07,OUT019,344.84001333333333
"FDC22,OUT017,",FDC22,OUT017,2802.707293333333
"FDZ56,OUT046,",FDZ56,OUT046,2104.371866666667
"FDZ40,OUT019,",FDZ40,OUT019,333.65457333333336
"FDS46,OUT027,",FDS46,OUT027,2895.7861333333335
"DRD24,OUT045,",DRD24,OUT045,2422.7574266666666
"FDV45,OUT017,",FDV45,OUT017,2755.9681333333338
"FDL26,OUT045,",FDL26,OUT045,2128.2075066666666
"FDA56,OUT018,",FDA56,OUT018,1533.248626666667
"FDN27,OUT046,",FDN27,OUT046,1907.5170000000003
"FDM20,OUT049,",FDM20,OUT049,3678.2342933333334
"FDO16,OUT017,",FDO16,OUT017,1399.5559866666667
"FDL03,OUT035,",FDL03,OUT035,2949.1389066666666
"FDE58,OUT046,",FDE58,OUT046,2354.712666666667
"FDI02,OUT027,",FDI02,OUT027,2890.63728
"NCC55,OUT019,",NCC55,OUT019,222.15526666666668
"FDR03,OUT018,",FDR03,OUT018,2242.4144
"FDB14,OUT017,",FDB14,OUT017,2353.86932
"FDR45,OUT013,",FDR45,OUT013,2888.77304
"NCN07,OUT017,",NCN07,OUT017,1929.4883999999997
"FDM51,OUT019,",FDM51,OUT019,449.72570666666655
"FDT52,OUT027,",FDT52,OUT027,4388.509733333334
"FDL26,OUT046,",FDL26,OUT046,1983.063106666667
"NCZ42,OUT046,",NCZ42,OUT046,2618.768946666666
"DRI47,OUT019,",DRI47,OUT019,306.75625333333335
"FDW40,OUT013,",FDW40,OUT013,2448.67924
"FDN34,OUT046,",FDN34,OUT046,2037.4811599999998
"FDS01,OUT035,",FDS01,OUT035,2275.0386
"NCG55,OUT045,",NCG55,OUT045,2040.7657733333333
"FDC11,OUT035,",FDC11,OUT035,2424.2221866666664
"FDX35,OUT018,",FDX35,OUT018,2327.8587333333335
"NCB06,OUT046,",NCB06,OUT046,2910.7000533333335
"FDR09,OUT019,",FDR09,OUT019,370.31796
"FDC53,OUT017,",FDC53,OUT017,1373.2790800000002
"FDY45,OUT013,",FDY45,OUT013,3494.65104
"FDA22,OUT010,",FDA22,OUT010,446.04161333333326
"FDE02,OUT035,",FDE02,OUT035,1897.2636799999998
"FDW21,OUT045,",FDW21,OUT045,1602.44744
"FDV34,OUT046,",FDV34,OUT046,1472.6164400000002
"FDS59,OUT049,",FDS59,OUT049,1887.543
"NCW17,OUT017,",NCW17,OUT017,2137.5730933333334
"NCK54,OUT046,",NCK54,OUT046,1916.1724
"FDG17,OUT019,",FDG17,OUT019,341.02276
"FDG35,OUT017,",FDG35,OUT017,2528.2201466666666
"FDD08,OUT010,",FDD08,OUT010,267.87353333333334
"NCO07,OUT017,",NCO07,OUT017,2706.8320933333325
"FDJ10,OUT010,",FDJ10,OUT010,287.89192
"FDW36,OUT017,",FDW36,OUT017,1509.9012400000001
"FDW21,OUT010,",FDW21,OUT010,350.38834666666673
"FDY19,OUT017,",FDY19,OUT017,2000.9509333333335
"DRE03,OUT013,",DRE03,OUT013,1338.5687066666665
"NCC55,OUT049,",NCC55,OUT049,1288.678093333333
"FDH52,OUT010,",FDH52,OUT010,257.30950666666666
"FDO09,OUT017,",FDO09,OUT017,4289.34992
"FDU43,OUT045,",FDU43,OUT045,4115.931213333333
"FDX09,OUT010,",FDX09,OUT010,405.64974666666666
"FDH40,OUT019,",FDH40,OUT019,318.65188000000006
"FDW58,OUT017,",FDW58,OUT017,1655.2231866666666
"FDC47,OUT017,",FDC47,OUT017,4028.1787733333335
"NCR41,OUT035,",NCR41,OUT035,1842.0910533333333
"DRG49,OUT035,",DRG49,OUT035,2334.0284800000004
"FDC52,OUT027,",FDC52,OUT027,4243.587266666666
"FDY13,OUT046,",FDY13,OUT046,1849.9474933333333
"FDY35,OUT013,",FDY35,OUT013,1487.9742266666667
"FDI35,OUT017,",FDI35,OUT017,3295.7543866666665
"NCU18,OUT049,",NCU18,OUT049,2993.1260933333333
"FDY33,OUT018,",FDY33,OUT018,1913.6867466666665
"FDC15,OUT027,",FDC15,OUT027,3746.7229199999992
"FDU01,OUT049,",FDU01,OUT049,1973.4755866666667
"NCU42,OUT046,",NCU42,OUT046,2281.0308
"NCV29,OUT018,",NCV29,OUT018,2012.491466666667
"NCY30,OUT017,",NCY30,OUT017,2962.454906666667
"FDQ46,OUT049,",FDQ46,OUT049,2501.01112
"FDG58,OUT027,",FDG58,OUT027,3758.3966133333333
"FDK33,OUT017,",FDK33,OUT017,3240.98124
"NCD07,OUT045,",NCD07,OUT045,1623.3091733333333
"NCX29,OUT027,",NCX29,OUT027,3792.52996
"NCT42,OUT013,",NCT42,OUT013,2120.084746666667
"DRN59,OUT035,",DRN59,OUT035,2229.7198133333327
"FDI44,OUT035,",FDI44,OUT035,1557.6612933333333
"FDA45,OUT049,",FDA45,OUT049,2696.6231600000006
"FDP31,OUT045,",FDP31,OUT045,1242.51596
"FDY01,OUT046,",FDY01,OUT046,1634.8940933333333
"FDT09,OUT018,",FDT09,OUT018,1529.3426000000002
"DRH03,OUT027,",DRH03,OUT027,3017.3168266666667
"FDA36,OUT018,",FDA36,OUT018,1797.12736
"NCF31,OUT017,",NCF31,OUT017,2766.3102266666665
"FDG14,OUT049,",FDG14,OUT049,2115.2909866666664
"FDG28,OUT027,",FDG28,OUT027,4388.509733333334
"FDU14,OUT049,",FDU14,OUT049,2838.1722400000003
"FDY47,OUT019,",FDY47,OUT019,228.28062666666668
"FDI56,OUT049,",FDI56,OUT049,1655.8002133333332
"DRD01,OUT013,",DRD01,OUT013,1469.6869199999999
"FDM22,OUT046,",FDM22,OUT046,1490.1491733333335
"FDH33,OUT013,",FDH33,OUT013,1603.51272
"DRZ24,OUT013,",DRZ24,OUT013,2636.2129066666666
"NCQ38,OUT046,",NCQ38,OUT046,1631.74264
"FDO16,OUT027,",FDO16,OUT027,1960.51468
"FDU07,OUT027,",FDU07,OUT027,4150.108946666667
"NCB07,OUT013,",NCB07,OUT013,3278.79868
"FDU48,OUT045,",FDU48,OUT045,1755.5814400000002
"NCM43,OUT045,",NCM43,OUT045,2357.4202533333328
"FDR31,OUT010,",FDR31,OUT010,336.49532000000005
"DRK49,OUT018,",DRK49,OUT018,1442.9661466666666
"NCI30,OUT010,",NCI30,OUT010,509.02629333333334
"DRD60,OUT017,",DRD60,OUT017,3244.5321733333335
"NCG19,OUT046,",NCG19,OUT046,3163.4821199999997
"FDH12,OUT035,",FDH12,OUT035,1662.458213333333
"FDM32,OUT035,",FDM32,OUT035,2070.10536
"FDM27,OUT035,",FDM27,OUT035,2949.1389066666675
"NCU53,OUT027,",NCU53,OUT027,4371.198933333333
"NCQ18,OUT046,",NCQ18,OUT046,1675.3303466666666
"FDS10,OUT013,",FDS10,OUT013,2862.496133333333
"FDB33,OUT027,",FDB33,OUT027,4251.93196
"FDI12,OUT013,",FDI12,OUT013,1490.6818133333331
"NCW42,OUT013,",NCW42,OUT013,3485.107906666667
"NCC06,OUT018,",NCC06,OUT018,1647.6330666666665
"FDW02,OUT017,",FDW02,OUT017,1570.1783333333333
"NCD43,OUT017,",NCD43,OUT017,1432.3577333333335
"FDM57,OUT018,",FDM57,OUT018,1144.1107200000001
"FDA58,OUT017,",FDA58,OUT017,4076.4270800000004
"FDK56,OUT046,",FDK56,OUT046,2938.131013333333
"FDP52,OUT045,",FDP52,OUT045,3022.9539333333328
"FDW20,OUT018,",FDW20,OUT018,2149.5574933333332
"FDS52,OUT049,",FDS52,OUT049,1714.0799066666664
"NCT29,OUT018,",NCT29,OUT018,1639.1996
"NCL54,OUT013,",NCL54,OUT013,2763.247546666667
"FDC05,OUT045,",FDC05,OUT045,2823.702186666667
"FDF34,OUT035,",FDF34,OUT035,2547.705893333333
"FDP03,OUT027,",FDP03,OUT027,3835.8957333333333
"FDD32,OUT010,",FDD32,OUT010,222.64352
"FDZ10,OUT045,",FDZ10,OUT045,2300.2946133333335
"FDZ40,OUT035,",FDZ40,OUT035,1480.5616533333332
"FDD51,OUT018,",FDD51,OUT018,1393.91888
"NCY30,OUT019,",NCY30,OUT019,345.77213333333333
"FDP58,OUT017,",FDP58,OUT017,3013.3664133333336
"FDV49,OUT017,",FDV49,OUT017,4103.636106666667
"FDY24,OUT019,",FDY24,OUT019,262.72468
"NCO55,OUT017,",NCO55,OUT017,1582.8729199999996
"FDR13,OUT017,",FDR13,OUT017,1797.7487733333337
"FDS51,OUT017,",FDS51,OUT017,1564.5412266666665
"FDP26,OUT045,",FDP26,OUT045,1694.4166133333335
"NCB54,OUT027,",NCB54,OUT027,3716.4956000000006
"FDF32,OUT017,",FDF32,OUT017,3044.5702400000005
"FDN31,OUT018,",FDN31,OUT018,2400.07584
"DRM48,OUT017,",DRM48,OUT017,1107.9355866666667
"FDN20,OUT049,",FDN20,OUT049,2815.978906666666
"DRL01,OUT046,",DRL01,OUT046,3023.042706666667
"FDV56,OUT049,",FDV56,OUT049,2467.809893333333
"DRH13,OUT027,",DRH13,OUT027,2628.97788
"FDA03,OUT017,",FDA03,OUT017,3018.0714000000003
"FDF47,OUT027,",FDF47,OUT027,5024.881373333334
"FDX32,OUT046,",FDX32,OUT046,2494.1755733333334
"FDX57,OUT049,",FDX57,OUT049,1532.2721200000003
"NCA30,OUT045,",NCA30,OUT045,2254.3544133333335
"FDO49,OUT013,",FDO49,OUT013,1248.8632533333332
"FDL04,OUT019,",FDL04,OUT019,368.72004000000004
"DRM48,OUT035,",DRM48,OUT035,1835.255506666667
"FDR16,OUT013,",FDR16,OUT013,2490.3139333333334
"NCC19,OUT018,",NCC19,OUT018,2090.5232266666667
"NCE42,OUT045,",NCE42,OUT045,2884.9114
"FDY24,OUT017,",FDY24,OUT017,1329.06996
"FDH19,OUT049,",FDH19,OUT049,1971.3450266666664
"FDJ46,OUT013,",FDJ46,OUT013,3186.9626666666672
"FDN45,OUT010,",FDN45,OUT010,497.0418933333333
"FDY08,OUT035,",FDY08,OUT035,2013.4679733333332
"FDZ37,OUT035,",FDZ37,OUT035,2170.019746666667
"NCT30,OUT045,",NCT30,OUT045,1903.7441333333338
"DRY23,OUT018,",DRY23,OUT018,1009.3971866666667
"NCZ30,OUT018,",NCZ30,OUT018,1915.0183466666667
"FDC44,OUT018,",FDC44,OUT018,1629.6564666666663
"FDB45,OUT035,",FDB45,OUT035,2249.87136
"FDY04,OUT013,",FDY04,OUT013,2638.787333333333
"FDM27,OUT046,",FDM27,OUT046,2468.830786666667
"FDZ43,OUT017,",FDZ43,OUT017,4271.506480000001
"FDT39,OUT019,",FDT39,OUT019,438.58465333333334
"NCC06,OUT019,",NCC06,OUT019,339.91309333333334
"FDL15,OUT027,",FDL15,OUT027,4448.254186666668
"FDL57,OUT017,",FDL57,OUT017,4284.644933333333
"FDU08,OUT046,",FDU08,OUT046,2014.7108
"FDK40,OUT017,",FDK40,OUT017,4071.7220933333333
"FDQ12,OUT010,",FDQ12,OUT010,395.5739733333333
"FDS48,OUT017,",FDS48,OUT017,1910.7572266666664
"FDP09,OUT045,",FDP09,OUT045,2844.3863733333333
"FDW21,OUT049,",FDW21,OUT049,1596.45524
"FDY25,OUT035,",FDY25,OUT035,2231.62844
"DRE13,OUT017,",DRE13,OUT017,1580.9199066666665
"FDV43,OUT019,",FDV43,OUT019,247.85514666666668
"FDD22,OUT045,",FDD22,OUT045,1557.7500666666665
"FDM46,OUT019,",FDM46,OUT019,407.2476666666666
"NCO30,OUT010,",NCO30,OUT010,345.4614266666666
"FDM25,OUT046,",FDM25,OUT046,1975.8280800000002
"NCN41,OUT049,",NCN41,OUT049,1988.966533333333
"FDU24,OUT045,",FDU24,OUT045,1690.910066666667
"FDZ50,OUT046,",FDZ50,OUT046,2340.242613333334
"FDP45,OUT013,",FDP45,OUT013,3389.0995466666664
"NCM54,OUT045,",NCM54,OUT045,1859.4018533333333
"FDW10,OUT019,",FDW10,OUT019,424.64724
"FDP20,OUT017,",FDP20,OUT017,2548.4604666666664
"FDK32,OUT046,",FDK32,OUT046,2593.4241600000005
"FDN52,OUT049,",FDN52,OUT049,1723.445493333333
"FDM58,OUT045,",FDM58,OUT045,2160.165906666667
"FDZ46,OUT027,",FDZ46,OUT027,3046.922733333334
"NCA18,OUT018,",NCA18,OUT018,1642.9724666666668
"FDD35,OUT046,",FDD35,OUT046,2420.2717733333334
"NCK31,OUT035,",NCK31,OUT035,1647.6774533333332
"FDI40,OUT027,",FDI40,OUT027,2569.100266666667
"FDT50,OUT019,",FDT50,OUT019,289.3122933333333
"NCT06,OUT046,",NCT06,OUT046,2583.126453333333
"FDT31,OUT035,",FDT31,OUT035,3121.092853333333
"FDT45,OUT049,",FDT45,OUT049,2447.8802800000003
"FDT13,OUT045,",FDT13,OUT045,3343.5588266666664
"FDO50,OUT045,",FDO50,OUT045,1596.4552399999998
"NCU18,OUT010,",NCU18,OUT010,313.81373333333335
"NCR54,OUT049,",NCR54,OUT049,3626.5682133333335
"NCO18,OUT018,",NCO18,OUT018,2046.1365599999997
"FDU09,OUT045,",FDU09,OUT045,970.2925333333335
"FDT13,OUT018,",FDT13,OUT018,2226.213266666666
"FDE09,OUT046,",FDE09,OUT046,2366.8746133333334
"NCK53,OUT019,",NCK53,OUT019,262.6802933333334
"FDG45,OUT049,",FDG45,OUT049,3110.9726933333336
"DRH15,OUT035,",DRH15,OUT035,1501.1126800000004
"FDO21,OUT019,",FDO21,OUT019,417.05712
"FDD14,OUT027,",FDD14,OUT027,4469.071533333334
"FDC09,OUT046,",FDC09,OUT046,2029.4915600000002
"FDH45,OUT027,",FDH45,OUT027,2729.469293333333
"FDV32,OUT046,",FDV32,OUT046,2110.275293333333
"FDG12,OUT035,",FDG12,OUT035,1805.7383733333336
"FDS32,OUT013,",FDS32,OUT013,1833.9682933333331
"NCL55,OUT018,",NCL55,OUT018,1967.7940933333332
"DRE01,OUT035,",DRE01,OUT035,2690.986053333333
"DRE15,OUT049,",DRE15,OUT049,1557.6169066666666
"NCL42,OUT045,",NCL42,OUT045,2854.772853333334
"FDP31,OUT013,",FDP31,OUT013,1783.94452
"FDN33,OUT018,",FDN33,OUT018,1328.1378399999999
"FDZ59,OUT046,",FDZ59,OUT046,2439.8462933333335
"FDE45,OUT010,",FDE45,OUT010,424.8691733333333
"FDJ07,OUT013,",FDJ07,OUT013,1975.1178933333333
"FDQ45,OUT018,",FDQ45,OUT018,2364.610893333333
"FDM33,OUT027,",FDM33,OUT027,5471.189306666666
"FDO15,OUT010,",FDO15,OUT010,432.2373600000001
"FDM46,OUT013,",FDM46,OUT013,1856.9162000000001
"FDR03,OUT045,",FDR03,OUT045,3439.9222800000002
"FDY49,OUT018,",FDY49,OUT018,2253.2447466666663
"FDQ60,OUT045,",FDQ60,OUT045,2429.63736
"FDW10,OUT049,",FDW10,OUT049,2602.6122
"FDO51,OUT049,",FDO51,OUT049,2123.946386666667
"FDJ40,OUT018,",FDJ40,OUT018,1800.0124933333334
"FDS20,OUT018,",FDS20,OUT018,2238.508373333333
"FDU45,OUT013,",FDU45,OUT013,2024.0319999999997
"FDV02,OUT035,",FDV02,OUT035,2606.9620933333335
"FDN09,OUT046,",FDN09,OUT046,2699.7302266666666
"NCM55,OUT027,",NCM55,OUT027,3737.312946666667
"FDN23,OUT018,",FDN23,OUT018,1806.4041733333331
"FDY31,OUT010,",FDY31,OUT010,372.04903999999993
"FDW03,OUT010,",FDW03,OUT010,432.23736
"FDD14,OUT046,",FDD14,OUT046,2146.849906666667
"FDV23,OUT017,",FDV23,OUT017,1953.59036
"DRI03,OUT045,",DRI03,OUT045,3126.1085466666673
"FDN13,OUT035,",FDN13,OUT035,2006.6324266666666
"FDF45,OUT027,",FDF45,OUT027,2781.490466666667
"FDU46,OUT035,",FDU46,OUT035,1813.4172666666668
